CAS,Solvent
64-19-7,Acetic acid
100-51-6,Benzyl alcohol
107-88-0,"1,3-Butanediol"
71-36-3,1-Butanol
78-92-2,2-Butanol
138-22-7,Butyl lactate
107-92-6,Butyric acid
108-93-0,Cyclohexanol
112-30-1,1-Decanol
123-42-2,Diacetone alcohol
108-82-7,Di-iso-butyl carbinol
111-46-6,Diethylene glycol
112-59-4,Diethylene glycol hexyl ether
112-34-5,Diethylene glycol monobutyl ether
111-90-0,Diethylene glycol monoethyl ether
25265-71-8,Dipropylene glycol
34590-94-8,Dipropyiene glycol methyl ether
64-17-5,Ethanol
141-43-5,Ethanolamine
97-95-0,2-Ethyl-1-butanol
109-78-4,Ethylene cyanohydrin
107-21-1,Ethylene glycol
104-76-7,2-Ethyl hexanol
97-64-3,Ethyl lactate
64-18-6,Formic acid
56-81-5,Glycerol
107-41-5,Hexylene glycol
78-83-1,Isobutyl alcohol
1653-40-3,Isooctyl alcohol
90-05-1,o-Methoxyphenol
108-11-2,Methyl isobutyl carbinol
000-78-83-1,2-Methyl-1-propanol(repeated)
27986-36-3,Nonyl phenoxy ethanol
124-07-2,Octanoic acid
111-87-5,1-Octanol
112-80-1,Oleic acid
143-28-2,Oleyl alcohol
71-41-0,1-Pentanol
71-23-8,1-Propanol
67-63-0,2-Propanol
57-55-6,Propylene glycol
9003-13-8,Propylene glycol monobutyl ether
1569-02-4,Propylene glycol monoethyl ether
23436-19-3,Propylene glycol monoisobutyl ether
107-98-2,Propylene glycol monomethyl ether
122-99-6,Propylene glycol monophenyl ether
1569-01-3,Propylene glycol monopropyl ether
57-11-4,Stearic acid
102-71-6,Triethanolamine
112-27-6,Triethyleneglycol
112-35-6,Triethylene glycol monooleyl ether
76-05-1,Trifluoroacetic acid
77-68-9,"2,2,4-Trimethyl-1,3-pentanediol monoisobutyrate"
7732-18-5,Water
75-65-0,t-Butyl Alcohol
