CAS,Solvent
75-07-0,Acetaldehyde
108-24-7,Acetic anhydride
67-64-1,Acetone
75-05-8,Acetonitrile
98-86-2,Acetophenone
107-13-1,Acrylonitrile
628-63-7,Amyl acetate
62-53-3,Aniline
100-66-3,Anisole
100-52-7,Benzaldehyde
71-43-2,Benzene
100-47-0,Benzonitrile
85-68-7,Benzyl butyl phthalate
92-52-4,Biphenyl
108-86-1,Bromobenzene
75-25-2,Bromoform
90-11-9,1-Bromonaphtalene
75-63-8,Bromotrifluoromethane
106-97-8,Butane
123-86-4,Butyl acetate
105-46-4,Sec-butyl acetate
141-32-2,Butyl acrylate
109-73-9,Butylamine
123-72-8,Butyraldehyde
96-48-0,Gamma butyrolactone
109-74-0,Butyronitrile
75-15-0,Carbon disulfide
110-82-7,Cyclohexane
108-94-1,Cyclohexanone
108-91-8,Cyclohexylamine
493-01-6,Cis-decahydronaphthalene
493-02-7,Trans-decahydronaphthalene
124-18-5,Decane
103-50-4,Dibenzyl ether
84-74-2,Dibutyl phthalate
109-43-3,Dibutyl sebacate
109-89-7,Diethylamine
105-05-5,Para-diethy l benzene
105-58-8,Diethyl carbonate
124-17-4,Diethylene glycol butyl ether acetate
111-40-0,Diethylenetriamine
60-29-7,Diethyl ether
96-22-0,Diethyl ketone
84-66-2,Diethyl phthalate
64-67-5,Diethyl sulfate
352-93-2,Diethyl sulfide
108-83-8,Di(isobutyl) ketone
111-96-6,Di(2-methoxyethyl) ether
127-19-5,"N,N-dimethylacetamide"
68-12-2,Dimethylformamide
57-14-7,"1,1-Di methyl hydrazine"
131-11-3,Dimethyl phthalate
67-71-0,Dimethyl sulfone
67-68-5,Dimethyl sulfoxide
117-81-7,Dioctyl phthalate
123-91-1,"1,4-Dioxane"
142-84-7,Dipropylamine
112-40-3,Dodecane
112-95-8,Eicosane
75-08-1,Ethanethiol
141-78-6,Ethyl acetate
140-88-5,Ethyl acrylate
106-68-3,Ethyl amyl ketone
100-41-4,Ethylbenzene
74-96-4,Ethyl bromide
106-35-4,Ethyl butyl ketone
103-36-6,Ethyl cinnamate
96-49-1,Ethylene carbonate
107-15-3,Ethylenediamine
106-93-4,Ethylene dibromide
112-07-2,Ethylene glycol butyl ether acetate
111-15-9,Ethylene glycol monoethyl ether acetate
110-49-6,Ethylene glycol monomethyl ether acetate
109-94-4,Ethyl formate
75-12-7,Formamide
110-00-9,Furan
98-01-1,Furfural
142-82-5,Heptane
544-76-3,Hexadecane
680-31-9,Hexamethylphosphoramide
110-54-3,Hexane
123-92-2,Isoamyl acetate
110-19-0,Isobutyl acetate
97-85-8,Isobutyl isobutyrate
78-78-4,Isopentane
78-59-1,Isophorone
142-91-6,Isopropyl palmitate
108-67-8,Mesitylene
141-79-7,Mesityl oxide
126-98-7,Methacrylonitrile
79-20-9,Methyl acetate
96-33-3,Methyl acrylate
109-87-5,Methylal
108-84-9,Methyl amyl acetate
591-78-6,Methyl butyl ketone
108-87-2,Methylcyclohexane
75-11-6,Methylene diiodide
78-93-3,Methyl ethyl ketone
110-12-3,Methyl isoamyl ketone
108-10-1,Methyl isobutyl ketone
80-62-6,Methyl methacrylate
90-12-0,1-Methylnaphthalene
112-62-9,Methyl oleate
872-50-4,Methyl-2-pyrrolidone
110-91-8,Morpholine
91-20-3,Naphthalene
98-95-3,Nitrobenzene
79-24-3,Nitroethane
75-52-5,Nitromethane
108-03-2,1-Nitropropane
79-46-9,2-Nitropropane
111-84-2,Nonane
111-65-9,Octane
109-66-0,Pentane
123-54-6,"2,4-Pentanedione"
306-98-9,Perfluoro(dimethylcyclohexane)
335-57-9,Perfluoroheptane
355-02-2,Perfluoromethylcyclohexane
748-30-1,Bis-(m-phenoxyphenyl) ether
107-12-0,Propionitrile
107-10-8,Propylamine
108-32-7,Propylene carbonate
110-86-1,Pyridine
616-45-5,2-Pyrolidone
91-22-5,Quinoline
100-42-5,Styrene
108-30-5,Succinic anhydride
79-27-6,"1,1,2,2-Tetrabromoethane"
78-10-4,Tetraethylorthosilicate
109-99-9,Tetrahydrofuran
119-64-2,Tetrahydronaphthalene
632-22-4,Tetramethylurea
108-88-3,Toluene
126-73-8,Tributyl phosphate
1330-78-5,Tricresyl phosphate
121-44-8,Triethylamine
78-40-0,Triethylphosphate
95-63-6,Trimethylbenzene
540-84-1,"2,2,2,4-Trimethylpentane"
512-56-1,Trimethyl phosphate
1330-20-7,m-Xylene
95-47-6,o-xylene
616-47-7,1-Methylimidazole
108-20-3,Isopropyl Ether
1634-04-4,Methyl-t-Butyl Ether
