CAS,Solvent
64-19-7,Acetic acid
108-24-7,Acetic anhydride
67-64-1,Acetone
75-05-8,Acetonitrile
98-86-2,Acetophenone
628-63-7,Amyl acetate
100-66-3,Anisole
100-52-7,Benzaldehyde
100-47-0,Benzonitrile
100-51-6,Benzyl alcohol
74-97-5,Bromochloromethane
90-11-9,1-Bromonaphtalene
75-63-8,Bromotrifluoromethane
106-97-8,Butane
107-88-0,"1,3-Butanediol"
71-36-3,1-Butanol
78-92-2,2-Butanol
123-86-4,Butyl acetate
105-46-4,Sec-butyl acetate
141-32-2,Butyl acrylate
109-73-9,Butylamine
138-22-7,Butyl lactate
123-72-8,Butyraldehyde
107-92-6,Butyric acid
109-69-3,1-Chlorobutane
75-45-6,Chlorodifluoromethane
627-30-5,3-Chloro-1-propanol
108-93-0,Cyclohexanol
108-94-1,Cyclohexanone
112-30-1,1-Decanol
123-42-2,Diacetone alcohol
109-43-3,Dibutyl sebacate
75-71-8,Dichlorodifluoromethane
75-34-3,"1,1-Dichloroethane"
75-43-4,Dichloromonofluoromethane
76-14-2,"1,2-Dichlorotetrafluoroethane"
108-82-7,Di-iso-butyl carbinol
109-89-7,Diethylamine
105-58-8,Diethyl carbonate
111-46-6,Diethylene glycol
124-17-4,Diethylene glycol butyl ether acetate
112-59-4,Diethylene glycol hexyl ether
112-34-5,Diethylene glycol monobutyl ether
111-90-0,Diethylene glycol monoethyl ether
111-40-0,Diethylenetriamine
60-29-7,Diethyl ether
96-22-0,Diethyl ketone
84-66-2,Diethyl phthalate
352-93-2,Diethyl sulfide
108-83-8,Di(isobutyl) ketone
131-11-3,Dimethyl phthalate
67-71-0,Dimethyl sulfone
67-68-5,Dimethyl sulfoxide
142-84-7,Dipropylamine
25265-71-8,Dipropylene glycol
34590-94-8,Dipropyiene glycol methyl ether
64-17-5,Ethanol
141-43-5,Ethanolamine
141-78-6,Ethyl acetate
140-88-5,Ethyl acrylate
106-68-3,Ethyl amyl ketone
97-95-0,2-Ethyl-1-butanol
106-35-4,Ethyl butyl ketone
103-36-6,Ethyl cinnamate
109-78-4,Ethylene cyanohydrin
107-21-1,Ethylene glycol
112-07-2,Ethylene glycol butyl ether acetate
109-94-4,Ethyl formate
104-76-7,2-Ethyl hexanol
97-64-3,Ethyl lactate
64-18-6,Formic acid
56-81-5,Glycerol
107-41-5,Hexylene glycol
123-92-2,Isoamyl acetate
110-19-0,Isobutyl acetate
78-83-1,Isobutyl alcohol
97-85-8,Isobutyl isobutyrate
1653-40-3,Isooctyl alcohol
142-91-6,Isopropyl palmitate
141-79-7,Mesityl oxide
90-05-1,o-Methoxyphenol
79-20-9,Methyl acetate
96-33-3,Methyl acrylate
109-87-5,Methylal
108-84-9,Methyl amyl acetate
75-11-6,Methylene diiodide
78-93-3,Methyl ethyl ketone
110-12-3,Methyl isoamyl ketone
108-11-2,Methyl isobutyl carbinol
80-62-6,Methyl methacrylate
112-62-9,Methyl oleate
000-78-83-1,2-Methyl-1-propanol(repeated)
110-91-8,Morpholine
64742-95-6,"Naphtha,high-flash"
79-24-3,Nitroethane
75-52-5,Nitromethane
108-03-2,1-Nitropropane
27986-36-3,Nonyl phenoxy ethanol
124-07-2,Octanoic acid
111-87-5,1-Octanol
112-80-1,Oleic acid
143-28-2,Oleyl alcohol
123-54-6,"2,4-Pentanedione"
71-41-0,1-Pentanol
306-98-9,Perfluoro(dimethylcyclohexane)
335-57-9,Perfluoroheptane
355-02-2,Perfluoromethylcyclohexane
748-30-1,Bis-(m-phenoxyphenyl) ether
71-23-8,1-Propanol
67-63-0,2-Propanol
540-54-5,Propyl chloride
108-32-7,Propylene carbonate
57-55-6,Propylene glycol
9003-13-8,Propylene glycol monobutyl ether
1569-02-4,Propylene glycol monoethyl ether
23436-19-3,Propylene glycol monoisobutyl ether
107-98-2,Propylene glycol monomethyl ether
122-99-6,Propylene glycol monophenyl ether
1569-01-3,Propylene glycol monopropyl ether
110-86-1,Pyridine
57-11-4,Stearic acid
78-10-4,Tetraethylorthosilicate
71-55-6,"1,1,1-Trichloroethane"
75-69-4,Trichlorofluoromethane
102-71-6,Triethanolamine
121-44-8,Triethylamine
112-27-6,Triethyleneglycol
112-35-6,Triethylene glycol monooleyl ether
78-40-0,Triethylphosphate
76-05-1,Trifluoroacetic acid
77-68-9,"2,2,4-Trimethyl-1,3-pentanediol monoisobutyrate"
7732-18-5,Water
1330-20-7,m-Xylene
95-47-6,o-xylene
75-65-0,t-Butyl Alcohol
616-47-7,1-Methylimidazole
108-20-3,Isopropyl Ether
1634-04-4,Methyl-t-Butyl Ether
